序号,类别,名称,出现回目,原文引用
1,菜肴,茄鲞,第四十一回,"“把才下来的茄子把皮刨了，只要净肉，切成碎钉子，用鸡油炸了。再用鸡肉脯子合香菌、新笋、蘑菇、五香豆腐干子、各色干果子，都切成钉儿，拿鸡汤煨干了，拿香油一收，外加糟油一拌，盛在磁罐子里封严了。要吃的时候儿，拿出来，用炒的鸡瓜子一拌，就是了。”"
2,菜肴,糟鹅掌,第八回,"“宝玉因夸前日在东府里珍大嫂子的好鹅掌。薛姨妈连忙把自己糟的取了来给他尝。”"
3,菜肴,糟鹅掌鸭信,第八回,"“宝玉因夸前日在东府里珍大嫂子的好鹅掌。薛姨妈连忙把自己糟的取了来给他尝。”（可能包括鸭信）"
4,菜肴,火腿炖肘子,第十六回,"“早起我说那一碗火腿炖的肘子很烂，正好给妈妈吃。”"
5,菜肴,胭脂鹅脯,第六十二回,"“里面是一碗虾丸鸡皮汤，又是一碗酒酿清蒸鸭子，一碟腌的胭脂鹅脯……”"
6,菜肴,酒酿清蒸鸭子,第六十二回,"“里面是一碗虾丸鸡皮汤，又是一碗酒酿清蒸鸭子，一碟腌的胭脂鹅脯……”"
7,菜肴,烤鹿肉,第四十九回,"“湘云就和宝玉计较道：“有新鹿肉，不如咱们要一块，自己拿了园里弄着，又吃又玩。””"
8,菜肴,牛乳蒸羊羔,第四十九回,"“头一样菜是牛乳蒸羊羔，贾母就说：“这是我们有年纪人的药，没见天日的东西，可惜你们小孩子吃不得。””"
9,菜肴,鸡髓笋,第七十五回,"“这一碗是鸡髓笋，是外头老爷送上来的。”"
10,菜肴,炸鹌鹑,第四十六回,"“才我临来，舅母那边送了两笼子鹌鹑，我吩咐他们炸了。”"
11,菜肴,野鸡瓜,第四十九回,"“宝玉却等不得，只拿茶泡了一碗饭，就着野鸡瓜子忙忙的爬拉完了。”"
12,菜肴,虾丸鸡皮汤,第六十二回,"“里面是一碗虾丸鸡皮汤……”"
13,菜肴,火腿鲜笋汤,第五十八回,"“那盒中却有一碗火腿鲜笋汤，忙端了放在宝玉跟前。”"
14,菜肴,烧野鸡,第二十回,"“李嬷嬷：“你你说谁不好，我替你打他；我屋里烧的滚热的野鸡，快跟了我喝酒去罢。””"
15,菜肴,鸽子蛋,第四十回,"“凤姐偏拣了一碗鸽子蛋放在刘老老桌上。”"
16,菜肴,笼蒸螃蟹,第三十八回,"“凤姐吩咐：“螃蟹不可多拿来，仍旧放在蒸笼里，拿十个来，吃了再拿。””"
17,菜肴,野鸡崽子汤,第四十三回,"“方才你们送来野鸡崽子汤，我尝了一尝，倒有味儿，又吃了两块肉，心里很受用。”"
18,菜肴,火肉白菜汤,第八十七回,"“刚才我叫雪雁告诉厨房里，给姑娘作了一碗火肉白菜汤，加了一点儿虾米儿，配了点青笋紫菜……”"
19,菜肴,酸笋鸡皮汤,第八回,"“作了酸笋鸡皮汤，宝玉痛喝了几碗……”"
20,菜肴,糟鹌鹑,第五十回,"“贾母道：“这倒罢了，撕一点子腿儿来。”李纨忙答应了，要水洗手，亲自来撕。”"
21,菜肴,鸡丝蒿子秆,第六十一回,"“晴雯姐姐要吃蒿子杆儿，你怎么忙着还问肉炒鸡炒？……另炒你个面筋儿，少搁油才好。”"
22,菜肴,建莲红枣汤,第五十二回,"“小丫头便用小茶盘捧了一盖碗建莲红枣汤来，宝玉喝了两口。”"
23,菜肴,板栗烧野鸡,无明确回目,"（书中提及板栗和野鸡，可能为一道菜）"
24,菜肴,油盐炒枸杞芽,第六十一回,"“连前日三姑娘和宝姑娘偶然商量了要吃个油盐炒豆芽儿来……”（此处“豆芽儿”疑为“枸杞芽”之误）"
25,菜肴,葱煨海参,无明确回目,"（书中提及海参为贵重食材）"
26,菜肴,野鸡爪子,第四十九回,"（与“野鸡瓜”类似，可能同指一道菜）"
27,主食粥饭,碧粳粥,第八回,"“又吃了半碗多碧粳粥……”"
28,主食粥饭,枣熬粳米粥,第五十四回,"“也有枣儿熬的粳米粥，预备太太们吃斋的。”"
29,主食粥饭,红稻米粥,第七十五回,"“尤氏早捧过一碗来，说是红稻米粥。”"
30,主食粥饭,燕窝粥,第四十五回,"“每日早起，拿上等燕窝一两、冰糖五钱，用银锅子熬出粥来……”"
31,主食粥饭,腊八粥,第十九回,"（提及腊八节，应包含腊八粥）"
32,主食粥饭,鸭子肉粥,第五十四回,"“有预备的鸭子肉粥。”"
33,主食粥饭,江米粥,第八十七回,"“还熬了一点江米粥。”"
34,主食粥饭,绿畦香稻粳米饭,第六十二回,"“并一大碗热腾腾碧莹莹绿畦香稻粳米饭。”"
35,主食粥饭,银丝挂面,无明确回目,"（书中提及“银丝挂面”作为寿礼）"
36,主食粥饭,粳米饭,第六十二回,"（芳官吃的“绿畦香稻粳米饭”即是一种粳米饭）"
37,主食粥饭,元宵,第五十三回,"“一时上汤之后，又接着献元宵。”"
38,主食粥饭,茶面子,第七十五回,"“昨日人家送来的好茶面子，倒是对碗来你喝罢。”"
39,主食粥饭,奶子糖粳米粥,无明确回目,"（书中提及“奶子”和“糖粳米粥”）"
40,主食粥饭,冰糖燕窝粥,第四十五回,"（即“燕窝粥”加冰糖）"
41,主食粥饭,奶汤棋子面,无明确回目,"（书中提及“奶子”和“棋子面”）"
42,点心,豆腐皮包子,第八回,"“我今儿那边吃早饭，有一碟子豆腐皮儿的包子。我想着你爱吃……”"
43,点心,枣泥馅山药糕,第十一回,"“昨日老太太赏的那枣泥馅的山药糕，我吃了两块，倒象克化的动的似的。”"
44,点心,糖蒸酥酪,第十九回,"“忽又有贾妃赐出糖蒸酥酪来。”"
45,点心,松瓤鹅油卷,第四十一回,"“那盒内是两样蒸食：一样是藕粉桂花糖糕，一样是松瓤鹅油卷。”"
46,点心,奶油松瓤卷酥,第六十二回,"“一碟四个奶油松瓤卷酥……”"
47,点心,桂花糖蒸新栗粉糕,第三十七回,"“又揭开那个，是一碟子桂花糖蒸的新栗粉糕。”"
48,点心,藕粉桂花糖糕,第四十一回,"“那盒内是两样蒸食：一样是藕粉桂花糖糕……”"
