# N×N 乘法表对照表（1~12）

阶数 n,完整格子数 n²,口诀数 n(n+1)/2,对角线 n,一个三角 n(n-1)/2,被合并比例,口诀/完整 比值,口诀数增长比 T(n)/T(n-1)
1,1,1,1,0,0.00%,100.00%,
2,4,3,2,1,25.00%,75.00%,3.0000
3,9,6,3,3,33.33%,66.67%,2.0000
4,16,10,4,6,37.50%,62.50%,1.6667
5,25,15,5,10,40.00%,60.00%,1.5000
6,36,21,6,15,41.67%,58.33%,1.4000
7,49,28,7,21,42.86%,57.14%,1.3333
8,64,36,8,28,43.75%,56.25%,1.2857
9,81,45,9,36,44.44%,55.56%,1.2500
10,100,55,10,45,45.00%,55.00%,1.2222
11,121,66,11,55,45.45%,54.55%,1.2000
12,144,78,12,66,45.83%,54.17%,1.1818
