# 9×9 乘法表：完整表格(81项) vs 小九九口诀(45项) 对比
# 完整格子数 = n² = 81
# 口诀数 = n(n+1)/2 = 45
# 被交换律合并的项数 = n(n-1)/2 = 36

# === 表1：逐行对比（左侧完整表格 / 右侧小九九去重）===

序号,1列,2列,3列,4列,5列,6列,7列,8列,9列,,行内口诀数,累计口诀数
第1行,1×1=1,1×2=2,1×3=3,1×4=4,1×5=5,1×6=6,1×7=7,1×8=8,1×9=9,,1,1
第2行,↪1×2=2,2×2=4,2×3=6,2×4=8,2×5=10,2×6=12,2×7=14,2×8=16,2×9=18,,2,3
第3行,↪1×3=3,↪2×3=6,3×3=9,3×4=12,3×5=15,3×6=18,3×7=21,3×8=24,3×9=27,,3,6
第4行,↪1×4=4,↪2×4=8,↪3×4=12,4×4=16,4×5=20,4×6=24,4×7=28,4×8=32,4×9=36,,4,10
第5行,↪1×5=5,↪2×5=10,↪3×5=15,↪4×5=20,5×5=25,5×6=30,5×7=35,5×8=40,5×9=45,,5,15
第6行,↪1×6=6,↪2×6=12,↪3×6=18,↪4×6=24,↪5×6=30,6×6=36,6×7=42,6×8=48,6×9=54,,6,21
第7行,↪1×7=7,↪2×7=14,↪3×7=21,↪4×7=28,↪5×7=35,↪6×7=42,7×7=49,7×8=56,7×9=63,,7,28
第8行,↪1×8=8,↪2×8=16,↪3×8=24,↪4×8=32,↪5×8=40,↪6×8=48,↪7×8=56,8×8=64,8×9=72,,8,36
第9行,↪1×9=9,↪2×9=18,↪3×9=27,↪4×9=36,↪5×9=45,↪6×9=54,↪7×9=63,↪8×9=72,9×9=81,,9,45

# === 表2：区域统计 ===

区域,条件,项数,占比,说明
对角线,i = j,9,11.1%,自身相乘，无镜像，必须单独记
上三角,i < j,36,44.4%,与下三角镜像对称，只需记一份
下三角,i > j,36,44.4%,可由上三角交换律推出，无需另记
合计,—,81,100%,完整表格
口诀数,对角线+一个三角,45,55.6%,9 + 36 = 45

# === 表3：小九九口诀完整列表（按行）===

序号,行号,口诀,乘积,备注
1,第1行,1×1=1,1,（对角线）
2,第2行,1×2=2,2,
3,第2行,2×2=4,4,（对角线）
4,第3行,1×3=3,3,
5,第3行,2×3=6,6,
6,第3行,3×3=9,9,（对角线）
7,第4行,1×4=4,4,
8,第4行,2×4=8,8,
9,第4行,3×4=12,12,
10,第4行,4×4=16,16,（对角线）
11,第5行,1×5=5,5,
12,第5行,2×5=10,10,
13,第5行,3×5=15,15,
14,第5行,4×5=20,20,
15,第5行,5×5=25,25,（对角线）
16,第6行,1×6=6,6,
17,第6行,2×6=12,12,
18,第6行,3×6=18,18,
19,第6行,4×6=24,24,
20,第6行,5×6=30,30,
21,第6行,6×6=36,36,（对角线）
22,第7行,1×7=7,7,
23,第7行,2×7=14,14,
24,第7行,3×7=21,21,
25,第7行,4×7=28,28,
26,第7行,5×7=35,35,
27,第7行,6×7=42,42,
28,第7行,7×7=49,49,（对角线）
29,第8行,1×8=8,8,
30,第8行,2×8=16,16,
31,第8行,3×8=24,24,
32,第8行,4×8=32,32,
33,第8行,5×8=40,40,
34,第8行,6×8=48,48,
35,第8行,7×8=56,56,
36,第8行,8×8=64,64,（对角线）
37,第9行,1×9=9,9,
38,第9行,2×9=18,18,
39,第9行,3×9=27,27,
40,第9行,4×9=36,36,
41,第9行,5×9=45,45,
42,第9行,6×9=54,54,
43,第9行,7×9=63,63,
44,第9行,8×9=72,72,
45,第9行,9×9=81,81,（对角线）

# === 表4：交换律验证（下三角 ↔ 上三角 一一对应）===

序号,下三角项,上三角等价项,乘积,是否相等
1,2×1=2,1×2=2,2,✓ 相等
2,3×1=3,1×3=3,3,✓ 相等
3,3×2=6,2×3=6,6,✓ 相等
4,4×1=4,1×4=4,4,✓ 相等
5,4×2=8,2×4=8,8,✓ 相等
6,4×3=12,3×4=12,12,✓ 相等
7,5×1=5,1×5=5,5,✓ 相等
8,5×2=10,2×5=10,10,✓ 相等
9,5×3=15,3×5=15,15,✓ 相等
10,5×4=20,4×5=20,20,✓ 相等
11,6×1=6,1×6=6,6,✓ 相等
12,6×2=12,2×6=12,12,✓ 相等
13,6×3=18,3×6=18,18,✓ 相等
14,6×4=24,4×6=24,24,✓ 相等
15,6×5=30,5×6=30,30,✓ 相等
16,7×1=7,1×7=7,7,✓ 相等
17,7×2=14,2×7=14,14,✓ 相等
18,7×3=21,3×7=21,21,✓ 相等
19,7×4=28,4×7=28,28,✓ 相等
20,7×5=35,5×7=35,35,✓ 相等
21,7×6=42,6×7=42,42,✓ 相等
22,8×1=8,1×8=8,8,✓ 相等
23,8×2=16,2×8=16,16,✓ 相等
24,8×3=24,3×8=24,24,✓ 相等
25,8×4=32,4×8=32,32,✓ 相等
26,8×5=40,5×8=40,40,✓ 相等
27,8×6=48,6×8=48,48,✓ 相等
28,8×7=56,7×8=56,56,✓ 相等
29,9×1=9,1×9=9,9,✓ 相等
30,9×2=18,2×9=18,18,✓ 相等
31,9×3=27,3×9=27,27,✓ 相等
32,9×4=36,4×9=36,36,✓ 相等
33,9×5=45,5×9=45,45,✓ 相等
34,9×6=54,6×9=54,54,✓ 相等
35,9×7=63,7×9=63,63,✓ 相等
36,9×8=72,8×9=72,72,✓ 相等

共 36 对镜像项，验证全部通过。

# === 汇总 ===
项目,公式,数值
完整格子数,n²,81
小九九口诀数,n(n+1)/2,45
对角线项数,n,9
一个三角的项数,n(n-1)/2,36
被交换律合并的比例,n(n-1)/2 / n²,44.44%
口诀数/完整数比值,n(n+1)/2 / n²,55.56%
