
TaskName                                                                  TaskPath                                                                  State
--------                                                                  --------                                                                  -----
360ZipUpdater                                                             \                                                                      Disabled
360ZipUpdaterLoop                                                         \                                                                      Disabled
check_report_img_daily                                                    \                                                                         Ready
check_report_img_onstart                                                  \                                                                         Ready
check_report_img_random                                                   \                                                                         Ready
ecloud_update_agent_detect                                                \                                                                         Ready
ecloud_update_task_launch                                                 \                                                                         Ready
MicrosoftEdgeUpdateTaskMachineCore{86AEF278-8722-487C-B9A8-27ACF566EB68}  \                                                                      Disabled
MicrosoftEdgeUpdateTaskMachineUA{76F2BE27-BDBA-4D0E-83F0-7FCDEAD2C688}    \                                                                      Disabled
TeleAgent积分签到                                                             \                                                                         Ready
WpsUpdateLogonTask_Administrator                                          \                                                                      Disabled
WpsUpdateTask_Administrator                                               \                                                                      Disabled
XinWenLianBo_Sync_0600                                                    \                                                                         Ready
XinWenLianBo_Sync_30min                                                   \                                                                         Ready
XinWenLianBo_Watch                                                        \                                                                      Disabled
每日签到                                                                      \                                                                         Ready
新闻联播每日总结                                                                  \                                                                         Ready
GoogleUpdaterTaskSystem152.0.7933.0{1C50123F-25C8-43A0-9D85-4DE3EBDF1808} \GoogleSystem\GoogleUpdater\                                           Disabled
RunPlatformExperienceHelper_Daily                                         \GoogleUserPEH\                                                        Disabled
RunPlatformExperienceHelper_Metrics                                       \GoogleUserPEH\                                                        Disabled
Office Automatic Updates 2.0                                              \Microsoft\Office\                                                        Ready
Office ClickToRun Service Monitor                                         \Microsoft\Office\                                                        Ready
Office Feature Updates                                                    \Microsoft\Office\                                                        Ready
Office Feature Updates Logon                                              \Microsoft\Office\                                                        Ready
Office Performance Monitor                                                \Microsoft\Office\                                                        Ready
.NET Framework NGEN v4.0.30319                                            \Microsoft\Windows\.NET Framework\                                     Disabled
.NET Framework NGEN v4.0.30319 64                                         \Microsoft\Windows\.NET Framework\                                     Disabled
.NET Framework NGEN v4.0.30319 64 Critical                                \Microsoft\Windows\.NET Framework\                                     Disabled
.NET Framework NGEN v4.0.30319 Critical                                   \Microsoft\Windows\.NET Framework\                                     Disabled
RecoverabilityToastTask                                                   \Microsoft\Windows\AccountHealth\                                         Ready
AD RMS Rights Policy Template Management (Automated)                      \Microsoft\Windows\Active Directory Rights Management Services Client\ Disabled
AD RMS Rights Policy Template Management (Manual)                         \Microsoft\Windows\Active Directory Rights Management Services Client\    Ready
EDP Policy Manager                                                        \Microsoft\Windows\AppID\                                                 Ready
PolicyConverter                                                           \Microsoft\Windows\AppID\                                                 Ready
VerifiedPublisherCertStoreCheck                                           \Microsoft\Windows\AppID\                                                 Ready
MareBackup                                                                \Microsoft\Windows\Application Experience\                                Ready
Microsoft Compatibility Appraiser Exp                                     \Microsoft\Windows\Application Experience\                             Disabled
PcaPatchDbTask                                                            \Microsoft\Windows\Application Experience\                                Ready
SdbinstMergeDbTask                                                        \Microsoft\Windows\Application Experience\                                Ready
StartupAppTask                                                            \Microsoft\Windows\Application Experience\                             Disabled
appuriverifierdaily                                                       \Microsoft\Windows\ApplicationData\                                       Ready
appuriverifierinstall                                                     \Microsoft\Windows\ApplicationData\                                       Ready
CleanupTemporaryState                                                     \Microsoft\Windows\ApplicationData\                                       Ready
DsSvcCleanup                                                              \Microsoft\Windows\ApplicationData\                                       Ready
Backup                                                                    \Microsoft\Windows\AppListBackup\                                         Ready
BackupNonMaintenance                                                      \Microsoft\Windows\AppListBackup\                                         Ready
Pre-staged app cleanup                                                    \Microsoft\Windows\AppxDeploymentClient\                               Disabled
UCPD velocity                                                             \Microsoft\Windows\AppxDeploymentClient\                                  Ready
Proxy                                                                     \Microsoft\Windows\Autochk\                                            Disabled
BitLocker Encrypt All Drives                                              \Microsoft\Windows\BitLocker\                                             Ready
BitLocker MDM policy Refresh                                              \Microsoft\Windows\BitLocker\                                             Ready
UninstallDeviceTask                                                       \Microsoft\Windows\Bluetooth\                                             Ready
BgTaskRegistrationMaintenanceTask                                         \Microsoft\Windows\BrokerInfrastructure\                                  Ready
maintenancetasks                                                          \Microsoft\Windows\capabilityaccessmanager\                               Ready
AikCertEnrollTask                                                         \Microsoft\Windows\CertificateServicesClient\                             Ready
CryptoPolicyTask                                                          \Microsoft\Windows\CertificateServicesClient\                             Ready
KeyPreGenTask                                                             \Microsoft\Windows\CertificateServicesClient\                             Ready
SystemTask                                                                \Microsoft\Windows\CertificateServicesClient\                             Ready
UserTask                                                                  \Microsoft\Windows\CertificateServicesClient\                             Ready
UserTask-Roam                                                             \Microsoft\Windows\CertificateServicesClient\                             Ready
ProactiveScan                                                             \Microsoft\Windows\Chkdsk\                                             Disabled
SyspartRepair                                                             \Microsoft\Windows\Chkdsk\                                                Ready
License Validation                                                        \Microsoft\Windows\Clip\                                               Disabled
LicenseImdsIntegration                                                    \Microsoft\Windows\Clip\                                               Disabled
CreateObjectTask                                                          \Microsoft\Windows\CloudExperienceHost\                                   Ready
Backup                                                                    \Microsoft\Windows\CloudRestore\                                          Ready
Restore                                                                   \Microsoft\Windows\CloudRestore\                                          Ready
UnifiedConsentSyncTask                                                    \Microsoft\Windows\ConsentUX\UnifiedConsent\                              Ready
CmCleanup                                                                 \Microsoft\Windows\Containers\                                            Ready
Consolidator                                                              \Microsoft\Windows\Customer Experience Improvement Program\            Disabled
UsbCeip                                                                   \Microsoft\Windows\Customer Experience Improvement Program\            Disabled
Data Integrity Check And Scan                                             \Microsoft\Windows\Data Integrity Scan\                                   Ready
Data Integrity Scan                                                       \Microsoft\Windows\Data Integrity Scan\                                   Ready
Data Integrity Scan for Crash Recovery                                    \Microsoft\Windows\Data Integrity Scan\                                   Ready
ScheduledDefrag                                                           \Microsoft\Windows\Defrag\                                             Disabled
Device                                                                    \Microsoft\Windows\Device Information\                                    Ready
Device User                                                               \Microsoft\Windows\Device Information\                                    Ready
Driver Recovery on Reboot                                                 \Microsoft\Windows\Device Setup\                                       Disabled
Metadata Refresh                                                          \Microsoft\Windows\Device Setup\                                          Ready
HandleCommand                                                             \Microsoft\Windows\DeviceDirectoryClient\                                 Ready
HandleWnsCommand                                                          \Microsoft\Windows\DeviceDirectoryClient\                                 Ready
IntegrityCheck                                                            \Microsoft\Windows\DeviceDirectoryClient\                                 Ready
LocateCommandUserSession                                                  \Microsoft\Windows\DeviceDirectoryClient\                                 Ready
RegisterDeviceAccountChange                                               \Microsoft\Windows\DeviceDirectoryClient\                                 Ready
RegisterDeviceLocationRightsChange                                        \Microsoft\Windows\DeviceDirectoryClient\                              Disabled
RegisterDevicePeriodic24                                                  \Microsoft\Windows\DeviceDirectoryClient\                              Disabled
RegisterDevicePolicyChange                                                \Microsoft\Windows\DeviceDirectoryClient\                                 Ready
RegisterDeviceProtectionStateChanged                                      \Microsoft\Windows\DeviceDirectoryClient\                                 Ready
RegisterDeviceSettingChange                                               \Microsoft\Windows\DeviceDirectoryClient\                                 Ready
RegisterUserDevice                                                        \Microsoft\Windows\DeviceDirectoryClient\                                 Ready
RecommendedTroubleshootingScanner                                         \Microsoft\Windows\Diagnosis\                                          Disabled
Scheduled                                                                 \Microsoft\Windows\Diagnosis\                                          Disabled
UnexpectedCodepath                                                        \Microsoft\Windows\Diagnosis\                                             Ready
DirectXDatabaseUpdater                                                    \Microsoft\Windows\DirectX\                                               Ready
DXGIAdapterCache                                                          \Microsoft\Windows\DirectX\                                               Ready
SilentCleanup                                                             \Microsoft\Windows\DiskCleanup\                                        Disabled
Microsoft-Windows-DiskDiagnosticDataCollector                             \Microsoft\Windows\DiskDiagnostic\                                     Disabled
Microsoft-Windows-DiskDiagnosticResolver                                  \Microsoft\Windows\DiskDiagnostic\                                     Disabled
Diagnostics                                                               \Microsoft\Windows\DiskFootprint\                                      Disabled
StorageSense                                                              \Microsoft\Windows\DiskFootprint\                                         Ready
dusmtask                                                                  \Microsoft\Windows\DUSM\                                                  Ready
EDP App Launch Task                                                       \Microsoft\Windows\EDP\                                                   Ready
EDP Auth Task                                                             \Microsoft\Windows\EDP\                                                   Ready
EDP Inaccessible Credentials Task                                         \Microsoft\Windows\EDP\                                                   Ready
StorageCardEncryption Task                                                \Microsoft\Windows\EDP\                                                   Ready
ExploitGuard MDM policy Refresh                                           \Microsoft\Windows\ExploitGuard\                                          Ready
DmClient                                                                  \Microsoft\Windows\Feedback\Siuf\                                      Disabled
DmClientOnScenarioDownload                                                \Microsoft\Windows\Feedback\Siuf\                                         Ready
Property Definition Sync                                                  \Microsoft\Windows\File Classification Infrastructure\                 Disabled
File History (maintenance mode)                                           \Microsoft\Windows\FileHistory\                                        Disabled
BootstrapUsageDataReporting                                               \Microsoft\Windows\Flighting\FeatureConfig\                            Disabled
GovernedFeatureUsageProcessing                                            \Microsoft\Windows\Flighting\FeatureConfig\                               Ready
ReconcileConfigs                                                          \Microsoft\Windows\Flighting\FeatureConfig\                               Ready
ReconcileFeatures                                                         \Microsoft\Windows\Flighting\FeatureConfig\                               Ready
UsageDataFlushing                                                         \Microsoft\Windows\Flighting\FeatureConfig\                               Ready
UsageDataReceiver                                                         \Microsoft\Windows\Flighting\FeatureConfig\                               Ready
UsageDataReporting                                                        \Microsoft\Windows\Flighting\FeatureConfig\                               Ready
RefreshCache                                                              \Microsoft\Windows\Flighting\OneSettings\                                 Ready
Monitoring                                                                \Microsoft\Windows\Hotpatch\                                              Ready
InputSettingsRestoreDataAvailable                                         \Microsoft\Windows\input\                                                 Ready
LocalUserSyncDataAvailable                                                \Microsoft\Windows\input\                                                 Ready
MouseSyncDataAvailable                                                    \Microsoft\Windows\input\                                                 Ready
PenSyncDataAvailable                                                      \Microsoft\Windows\input\                                                 Ready
RemoteMouseSyncDataAvailable                                              \Microsoft\Windows\input\                                                 Ready
RemotePenSyncDataAvailable                                                \Microsoft\Windows\input\                                                 Ready
RemoteTouchpadSyncDataAvailable                                           \Microsoft\Windows\input\                                                 Ready
syncpensettings                                                           \Microsoft\Windows\input\                                                 Ready
TouchpadSyncDataAvailable                                                 \Microsoft\Windows\input\                                                 Ready
RestoreDevice                                                             \Microsoft\Windows\InstallService\                                        Ready
ScanForUpdates                                                            \Microsoft\Windows\InstallService\                                        Ready
ScanForUpdatesAsUser                                                      \Microsoft\Windows\InstallService\                                        Ready
SmartRetry                                                                \Microsoft\Windows\InstallService\                                        Ready
WakeUpAndContinueUpdates                                                  \Microsoft\Windows\InstallService\                                     Disabled
WakeUpAndScanForUpdates                                                   \Microsoft\Windows\InstallService\                                     Disabled
Synchronize Language Settings                                             \Microsoft\Windows\International\                                         Ready
La57Cleanup                                                               \Microsoft\Windows\Kernel\                                                Ready
Installation                                                              \Microsoft\Windows\LanguageComponentsInstaller\                           Ready
ReconcileLanguageResources                                                \Microsoft\Windows\LanguageComponentsInstaller\                           Ready
Uninstallation                                                            \Microsoft\Windows\LanguageComponentsInstaller\                        Disabled
TempSignedLicenseExchange                                                 \Microsoft\Windows\License Manager\                                       Ready
WindowsActionDialog                                                       \Microsoft\Windows\Location\                                           Disabled
WinSAT                                                                    \Microsoft\Windows\Maintenance\                                        Disabled
DetectHardwareChange                                                      \Microsoft\Windows\Management\Autopilot\                               Disabled
RemediateHardwareChange                                                   \Microsoft\Windows\Management\Autopilot\                               Disabled
Cellular                                                                  \Microsoft\Windows\Management\Provisioning\                            Disabled
Logon                                                                     \Microsoft\Windows\Management\Provisioning\                               Ready
MdmDiagnosticsCleanup                                                     \Microsoft\Windows\Management\Provisioning\                            Disabled
Retry                                                                     \Microsoft\Windows\Management\Provisioning\                            Disabled
RunOnReboot                                                               \Microsoft\Windows\Management\Provisioning\                            Disabled
MapsToastTask                                                             \Microsoft\Windows\Maps\                                               Disabled
MapsUpdateTask                                                            \Microsoft\Windows\Maps\                                               Disabled
AutomaticOfflineMemoryDiagnostic                                          \Microsoft\Windows\MemoryDiagnostic\                                      Ready
ProcessMemoryDiagnosticEvents                                             \Microsoft\Windows\MemoryDiagnostic\                                   Disabled
RunFullMemoryDiagnostic                                                   \Microsoft\Windows\MemoryDiagnostic\                                   Disabled
LPRemove                                                                  \Microsoft\Windows\MUI\                                                   Ready
SystemSoundsService                                                       \Microsoft\Windows\Multimedia\                                          Running
NcsiIdentifyUserProxies                                                   \Microsoft\Windows\Network Connectivity Status Indicator\                 Ready
WiFiTask                                                                  \Microsoft\Windows\NlaSvc\                                                Ready
Background Synchronization                                                \Microsoft\Windows\Offline Files\                                      Disabled
Logon Synchronization                                                     \Microsoft\Windows\Offline Files\                                      Disabled
PCR Prediction Framework Firmware Update Task                             \Microsoft\Windows\PCRPF\                                                 Ready
RequestTrace                                                              \Microsoft\Windows\PerformanceTrace\                                      Ready
WhesvcToast                                                               \Microsoft\Windows\PerformanceTrace\                                      Ready
Secure-Boot-Update                                                        \Microsoft\Windows\PI\                                                    Ready
Sqm-Tasks                                                                 \Microsoft\Windows\PI\                                                 Disabled
Device Install Group Policy                                               \Microsoft\Windows\Plug and Play\                                         Ready
Device Install Reboot Required                                            \Microsoft\Windows\Plug and Play\                                         Ready
Sysprep Generalize Drivers                                                \Microsoft\Windows\Plug and Play\                                         Ready
Pluton-Ksp-Provisioning                                                   \Microsoft\Windows\Pluton\                                                Ready
AnalyzeSystem                                                             \Microsoft\Windows\Power Efficiency Diagnostics\                       Disabled
EduPrintProv                                                              \Microsoft\Windows\Printing\                                              Ready
PrinterCleanupTask                                                        \Microsoft\Windows\Printing\                                              Ready
PrintJobCleanupTask                                                       \Microsoft\Windows\Printing\                                           Disabled
LoginCheck                                                                \Microsoft\Windows\PushToInstall\                                         Ready
Registration                                                              \Microsoft\Windows\PushToInstall\                                         Ready
MobilityManager                                                           \Microsoft\Windows\Ras\                                                   Ready
VerifyWinRE                                                               \Microsoft\Windows\RecoveryEnvironment\                                Disabled
Initialization                                                            \Microsoft\Windows\ReFsDedupSvc\                                          Ready
RegIdleBackup                                                             \Microsoft\Windows\Registry\                                           Disabled
RemoteAssistanceTask                                                      \Microsoft\Windows\RemoteAssistance\                                      Ready
OOBEFodSetup                                                              \Microsoft\Windows\Servicing\                                          Disabled
StartComponentCleanup                                                     \Microsoft\Windows\Servicing\                                          Disabled
PITRTask                                                                  \Microsoft\Windows\Setup\                                                 Ready
Account Cleanup                                                           \Microsoft\Windows\SharedPC\                                           Disabled
CreateObjectTask                                                          \Microsoft\Windows\Shell\                                                 Ready
FamilySafetyMonitor                                                       \Microsoft\Windows\Shell\                                              Disabled
FamilySafetyRefreshTask                                                   \Microsoft\Windows\Shell\                                              Disabled
IndexerAutomaticMaintenance                                               \Microsoft\Windows\Shell\                                              Disabled
ThemeAssetTask_SyncFODState                                               \Microsoft\Windows\Shell\                                              Disabled
ThemesSyncedImageDownload                                                 \Microsoft\Windows\Shell\                                                 Ready
UpdateUserPictureTask                                                     \Microsoft\Windows\Shell\                                                 Ready
UpdateUserPictureTaskContained                                            \Microsoft\Windows\Shell\                                                 Ready
SvcRestartTask                                                            \Microsoft\Windows\SoftwareProtectionPlatform\                            Ready
SvcRestartTaskLogon                                                       \Microsoft\Windows\SoftwareProtectionPlatform\                         Disabled
SvcRestartTaskNetwork                                                     \Microsoft\Windows\SoftwareProtectionPlatform\                         Disabled
SpaceAgentTask                                                            \Microsoft\Windows\SpacePort\                                             Ready
SpaceManagerTask                                                          \Microsoft\Windows\SpacePort\                                             Ready
SpeechModelDownloadTask                                                   \Microsoft\Windows\Speech\                                             Disabled
MaintenanceTasks                                                          \Microsoft\Windows\StateRepository\                                       Ready
Storage Tiers Management Initialization                                   \Microsoft\Windows\Storage Tiers Management\                              Ready
Storage Tiers Optimization                                                \Microsoft\Windows\Storage Tiers Management\                           Disabled
EnableLicenseAcquisition                                                  \Microsoft\Windows\Subscription\                                          Ready
LicenseAcquisition                                                        \Microsoft\Windows\Subscription\                                       Disabled
PowerGridForecastTask                                                     \Microsoft\Windows\Sustainability\                                        Ready
SustainabilityTelemetry                                                   \Microsoft\Windows\Sustainability\                                        Ready
HybridDriveCachePrepopulate                                               \Microsoft\Windows\Sysmain\                                            Disabled
HybridDriveCacheRebalance                                                 \Microsoft\Windows\Sysmain\                                            Disabled
ResPriStaticDbSync                                                        \Microsoft\Windows\Sysmain\                                               Ready
WsSwapAssessmentTask                                                      \Microsoft\Windows\Sysmain\                                               Ready
SR                                                                        \Microsoft\Windows\SystemRestore\                                      Disabled
Interactive                                                               \Microsoft\Windows\Task Manager\                                          Ready
MsCtfMonitor                                                              \Microsoft\Windows\TextServicesFramework\                                 Ready
ForceSynchronizeTime                                                      \Microsoft\Windows\Time Synchronization\                                  Ready
SynchronizeTime                                                           \Microsoft\Windows\Time Synchronization\                                  Ready
SynchronizeTimeZone                                                       \Microsoft\Windows\Time Zone\                                             Ready
Tpm-HASCertRetr                                                           \Microsoft\Windows\TPM\                                                   Ready
Tpm-Maintenance                                                           \Microsoft\Windows\TPM\                                                Disabled
Tpm-PreAttestationHealthCheck                                             \Microsoft\Windows\TPM\                                                   Ready
Report policies                                                           \Microsoft\Windows\UpdateOrchestrator\                                    Ready
Schedule Maintenance Work                                                 \Microsoft\Windows\UpdateOrchestrator\                                 Disabled
Schedule Scan                                                             \Microsoft\Windows\UpdateOrchestrator\                                    Ready
Schedule Scan Static Task                                                 \Microsoft\Windows\UpdateOrchestrator\                                    Ready
Schedule Wake To Work                                                     \Microsoft\Windows\UpdateOrchestrator\                                 Disabled
Schedule Work                                                             \Microsoft\Windows\UpdateOrchestrator\                                 Disabled
Start Oobe Expedite Work                                                  \Microsoft\Windows\UpdateOrchestrator\                                    Ready
