词条,字数,所属子类,独立成词频次,字面频次,首现章回,首现回目,其他归属,备注,例句
衣裳,2,服饰品类,167,167,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,”因又说道：“该随手拿出两个来给你这妹妹裁衣裳啊。
衣服,2,服饰品类,73,73,6,贾宝玉初试云雨情 刘老老一进荣国府,,,刘老老不敢过去，掸掸衣服，又教了板儿几句话，然后溜到角门前，只见几个挺胸叠肚、指手画脚的人坐在大门上，说东谈西的。
琥珀,2,首饰佩饰,56,56,5,贾宝玉神游太虚境 警幻仙曲演红楼梦,,正文中多为贾母丫鬟名「琥珀」，兼指琥珀器皿,琼桨满泛玻璃盏，玉液浓斟琥珀杯。
绣,1,缝织浆洗,50,93,3,托内兄如海荐西宾 接外孙贾母惜孤女,,多作动词（绣制）,这个人打扮与姑娘们不同，彩绣辉煌，恍若神妃仙子。
大红,2,颜色纹样,48,48,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,头上戴着金丝八宝攒珠髻，绾朝阳五凤挂珠钗，项上戴着赤金盘螭缨络圈，身上穿着缕金百蝶穿花大红云缎窄裉袄，外罩五彩刻丝石青银鼠褂，下着翡翠撒花洋绉裙。
扇子,2,首饰佩饰,44,44,27,滴翠亭杨妃戏彩蝶 埋香冢飞燕泣残红,,,宝钗意欲扑了来玩耍，遂向袖中取出扇子来，向草地下来扑。
针线,2,缝织浆洗,34,40,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,指针线活计，非独立服饰词,幸而身边还有两个旧日的丫鬟伏侍，主仆三人，日夜作些针线，帮着父亲用度。
荷包,2,首饰佩饰,31,31,8,贾宝玉奇缘识金锁 薛宝钗巧合认通灵,,,贾母又给了一个荷包和一个金魁星，取“文星和合”之意。
打扮,2,妆饰脂粉,30,30,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,这个人打扮与姑娘们不同，彩绣辉煌，恍若神妃仙子。
汗巾,2,服饰品类,28,28,16,贾元春才选凤藻宫 秦鲸卿夭逝黄泉路,,,谁知爱势贪财的父母，却养了一个知义多情的女儿，闻得退了前夫，另许李门，他便一条汗巾悄悄的寻了自尽。
绢,1,衣料织物,25,86,8,贾宝玉奇缘识金锁 薛宝钗巧合认通灵,,,袭人摘下那“通灵宝玉”来，用绢子包好，塞在褥于底下，恐怕次日带时冰了他的脖子。
鞋,1,服饰品类,24,40,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,可巧这日拄了拐扎挣到街前散散心时，忽见那边来了一个跛足道人，疯狂落拓，麻鞋鹑衣，口内念着几句言词道：
珍珠,2,首饰佩饰,24,24,4,薄命女偏逢簿命郎 葫芦僧判断葫芦案,,正文中亦为贾母丫鬟名「珍珠」,丰年好大“薛”，珍珠如土金如铁。
胭脂,2,妆饰脂粉,22,25,4,薄命女偏逢簿命郎 葫芦僧判断葫芦案,,,当日这英莲，我们天天哄他玩耍，极相熟的，所以隔了七八年，虽模样儿出脱的齐整，然大段未改，所以认得，且他眉心中原有米粒大的一点胭脂，从胎里带来的。
袄儿,2,服饰品类,21,21,8,贾宝玉奇缘识金锁 薛宝钗巧合认通灵,,,”一面说，一面解了排扣，从里面大红袄儿上将那珠宝晶莹、黄金灿烂的缨珞摘出来。
纱,1,衣料织物,20,87,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,兼指纱帐、窗纱,蛛丝儿结满雕梁，绿纱今又糊在蓬窗上。
