词条,字数,所属子类,独立成词频次,字面频次,首现章回,首现回目,其他归属,备注,例句
炕,1,室内陈设,116,158,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,临窗大炕上铺着猩红洋毯，正面设着大红金线蟒引枕，秋香色金钱蟒大条褥，两边设一对梅花式洋漆小几，左边几上摆着文王鼎，鼎旁匙著香盒，右边几上摆着汝窑美人觚，里面插着时鲜花草。
门,1,建筑形制,109,1225,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,字面频次含大门/角门等复合词,按那石上书云：当日地陷东南，这东南有个姑苏城，城中阊门，最是红尘中一二等富贵风流之地。
怡红院,3,园景府邸,82,82,18,皇恩重元妃省父母 天伦乐宝玉呈才藻,,本版原文亦作 「恰红院」9 次，频次已合并,“红香绿玉”改作“怡红快绿”，赐名“怡红院”。
屋子,2,建筑形制,80,83,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,你们赶早打扫两间屋子，叫他们歇歇儿去。
潇湘馆,3,园景府邸,67,67,18,皇恩重元妃省父母 天伦乐宝玉呈才藻,,,又改题：“有凤来仪”赐名“潇湘馆”。
书房,2,建筑形制,63,82,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,一日，炎夏永昼，士隐于书房闲坐，手倦抛书，伏几盹睡，不觉朦胧中走至一处，不辨是何地方。
梳洗,2,起居生活,57,57,6,贾宝玉初试云雨情 刘老老一进荣国府,,,次日天未明时，这老老便起来梳洗了。
房子,2,建筑形制,55,55,4,薄命女偏逢簿命郎 葫芦僧判断葫芦案,,,偏这拐子又租了我的房子居住。
二门,2,建筑形制,53,53,6,贾宝玉初试云雨情 刘老老一进荣国府,,,只得勉强说道：“论今日初次见，原不该说的，只是大远的奔了你老这里来，少不得说了……”刚说到这里，只听二门上小厮们回说：“东府里小蓉大爷进来了。
房,1,建筑形制,48,883,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,字面频次含东房/房中等复合词,一日，炎夏永昼，士隐于书房闲坐，手倦抛书，伏几盹睡，不觉朦胧中走至一处，不辨是何地方。
厅,1,建筑形制,45,96,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,”说着士隐已出前厅去了。
大观园,3,园景府邸,45,45,18,皇恩重元妃省父母 天伦乐宝玉呈才藻,,,因题其园之总名曰“大观园”，正殿匾额云“顾恩思义”，对联云：
歇息,2,起居生活,45,45,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,至晚间正待歇息之时，忽听一片声打的门响，许多人乱嚷，说：“本县太爷的差人来传人问话！
寺,1,建筑形制,44,58,2,贾夫人仙逝扬州城 冷子兴演说荣国府,,,这林如海姓林名海，表字如海，乃是前科的探花，今已升兰台寺大夫，本贯姑苏人氏，今钦点为巡盐御史，到任未久。
角门,2,建筑形制,43,43,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,又行了半日，忽见街北蹲着两个大石狮子，三间兽头大门，门前列坐着十来个华冠丽服之人，正门不开，只东西两角门有人出入。
铺,1,床帐被褥,42,122,3,托内兄如海荐西宾 接外孙贾母惜孤女,,多作动词（铺设、铺陈）,临窗大炕上铺着猩红洋毯，正面设着大红金线蟒引枕，秋香色金钱蟒大条褥，两边设一对梅花式洋漆小几，左边几上摆着文王鼎，鼎旁匙著香盒，右边几上摆着汝窑美人觚，里面插着时鲜花草。
上房,2,建筑形制,42,43,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,正面五间上房，皆是雕梁画栋，两边穿山游廊厢房，挂着各色鹦鹉画眉等雀鸟。
榻,1,室内陈设,39,52,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,贾母正面榻上独坐，两旁四张空椅，熙凤忙拉黛玉在左边第一张椅子上坐下，黛玉十分推让。
海棠,2,园林景致,39,45,5,贾宝玉神游太虚境 警幻仙曲演红楼梦,,,”入房向壁上看时，有唐伯虎画的《海棠春睡图》，两边有宋学士秦太虚写的一副对联云：
灯,1,室内陈设,38,208,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,兼指灯具与灯节,士隐令家人霍启抱了英莲，去看社火花灯。
大门,2,建筑形制,38,40,2,贾夫人仙逝扬州城 冷子兴演说荣国府,,,大门外虽冷落无人，隔着围墙一望，里面厅殿楼阁也还都峥嵘轩峻，就是后边一带花园里，树木山石，也都还有葱蔚洇润之气，那里象个衰败之家。
后门,2,建筑形制,38,39,6,贾宝玉初试云雨情 刘老老一进荣国府,,,”刘老老谢了，遂领着板儿绕至后门上。
帘子,2,室内陈设,37,42,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,”于是三四人争着打帘子，一面听得人说：“林姑娘来了！
庵,1,建筑形制,36,89,7,送宫花贾琏戏熙凤 宴宁府宝玉会秦钟,,,只见惜春正同水月庵的小姑子智能儿两个一处玩耍呢，见周瑞家的进来，便问他何事。
安歇,2,起居生活,35,35,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,是晚宝玉李嬷嬷已睡了，他见里面黛玉鹦哥犹未安歇，他自卸了妆，悄悄的进来，笑问：“姑娘怎么还不安歇？
草,1,园林景致,33,137,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,他却常在西方灵河岸上行走，看见那灵河岸上三生石畔有棵绛珠仙草，十分娇娜可爱，遂日以甘露灌溉，这绛珠草始得久延岁月。
枕,1,床帐被褥,32,74,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,临窗大炕上铺着猩红洋毯，正面设着大红金线蟒引枕，秋香色金钱蟒大条褥，两边设一对梅花式洋漆小几，左边几上摆着文王鼎，鼎旁匙著香盒，右边几上摆着汝窑美人觚，里面插着时鲜花草。
廊,1,建筑形制,32,68,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,黛玉扶着婆子的手进了垂花门，两边是超手游廊，正中是穿堂，当地放着一个紫檀架子大理石屏风。
梅花,2,园林景致,30,30,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,临窗大炕上铺着猩红洋毯，正面设着大红金线蟒引枕，秋香色金钱蟒大条褥，两边设一对梅花式洋漆小几，左边几上摆着文王鼎，鼎旁匙著香盒，右边几上摆着汝窑美人觚，里面插着时鲜花草。
箱子,2,室内陈设,30,30,22,听曲文宝玉悟禅机 制灯迷贾政悲谶语,,,果然拿不出来也罢了，金的银的圆的扁的压塌了箱子底，只是累我们。
山石,2,园林景致,29,30,2,贾夫人仙逝扬州城 冷子兴演说荣国府,,,大门外虽冷落无人，隔着围墙一望，里面厅殿楼阁也还都峥嵘轩峻，就是后边一带花园里，树木山石，也都还有葱蔚洇润之气，那里象个衰败之家。
桃花,2,园林景致,29,29,17,大观园试才题对额 荣国府归省庆元宵,,,”说着一径引入，绕着碧桃花，穿过竹篱花障编就的月洞门，俄见粉垣环护，绿柳周垂。
庙,1,建筑形制,28,97,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,这阊门外有个十里街，街内有个仁清巷，巷内有个古庙，因地方狭窄，人皆呼作“葫芦庙”。
房门,2,建筑形制,28,34,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,于是嬷嬷们引黛玉进东房门来。
