词条,字数,所属子类,独立成词频次,字面频次,首现章回,首现回目,其他归属,备注,例句
起身,2,出行活动,223,223,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,”士隐慌忙起身谢道：“恕诓驾之罪，且请略坐，弟即来奉陪。
逛,1,出行活动,122,136,6,贾宝玉初试云雨情 刘老老一进荣国府,,,五六岁的孩子，听见带了他进城逛去，喜欢的无不应承。
出门,2,出行活动,79,87,6,贾宝玉初试云雨情 刘老老一进荣国府,,,我们男的只管春秋两季地租子，闲了时带着小爷们出门就完了；
轿,1,车轿舟船,59,105,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,”丫鬟隐在门内看时，只见军牢快手一对一对过去，俄而大轿内抬着一个乌帽猩袍的官府来了。
车,1,车轿舟船,52,196,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,且说黛玉，自那日弃舟登岸时，便有荣府打发轿子并拉行李车辆伺候。
进京,2,出行活动,40,40,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,因他生于末世，父母祖宗根基已尽，人口衰丧，只剩得他一身一口，在家乡无益，因进京求取功名，再整基业。
马,1,牲畜坐骑,35,214,4,薄命女偏逢簿命郎 葫芦僧判断葫芦案,,,贾不假，白玉为堂金作马。
路,1,道路街巷,28,217,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,只是如今行李路费一概无措，神京路远，非赖卖字撰文即能到得。
出家,2,出行活动,21,23,2,贾夫人仙逝扬州城 冷子兴演说荣国府,,指出家为僧尼,只有当日小婿姓甄，今已出家一二年了，不知可是问他？
城外,2,道路街巷,21,21,2,贾夫人仙逝扬州城 冷子兴演说荣国府,,,他父亲又不肯住往家里，只在都中城外和那些道士们胡羼。
走动,2,出行活动,20,20,6,贾宝玉初试云雨情 刘老老一进荣国府,,含走动亲戚、行走两义,如今王府虽升了官儿，只怕二姑太太还认的咱们，你为什么不走动走动？
送殡,2,出行活动,19,19,14,林如海灵返苏州郡 贾宝玉路遏北静王,,,凤姐见发引日期在迩，也预先逐细分派料理，一面又派荣府中车轿人从跟王夫人送殡，又顾自己送殡去占下处。
省亲,2,出行活动,18,21,16,贾元春才选凤藻宫 秦鲸卿夭逝黄泉路,,,”贾琏道：“就为省亲的事。
出嫁,2,出行活动,17,17,19,情切切良宵花解语 意绵绵静日玉生香,,,”袭人道：“他虽没这样造化，倒也是娇生惯养的，我姨父姨娘的宝贝儿似的，如今十七岁，各样的嫁妆都齐备了，明年就出嫁。
包袱,2,行装行李,16,16,28,蒋玉函情赠茜香罗 薛宝钗羞笼红麝串,,,可巧门上小厮在甬路底下踢球，焙茗将原故说了，有个小厮跑了进去，半日才抱了一个包袱出来，递给焙茗。
船,1,车轿舟船,15,58,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,如海道：“天缘凑巧，因贱荆去世，都中家岳母念及小女无人依傍，前已道了男女船只来接，因小女未曾大痊，故尚未行，此刻正思送女进京。
城里,2,道路街巷,15,15,27,滴翠亭杨妃戏彩蝶 埋香冢飞燕泣残红,,,”宝玉道：“我这么逛去，城里城外大廊大庙的逛，也没见个新奇精致东西，总不过是那些金、玉、铜、磁器，没处撂的古董儿，再么就是绸缎、吃食、衣服了。
官道,2,道路街巷,15,15,16,贾元春才选凤藻宫 秦鲸卿夭逝黄泉路,,,当日宁、荣二宅，虽有一条小巷界断不通，然亦系私地，并非官道，故可以联络。
城,1,道路街巷,14,127,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,多为「京城、城里、进城」,按那石上书云：当日地陷东南，这东南有个姑苏城，城中阊门，最是红尘中一二等富贵风流之地。
轿子,2,车轿舟船,13,14,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,且说黛玉，自那日弃舟登岸时，便有荣府打发轿子并拉行李车辆伺候。
上马,2,牲畜坐骑,13,13,15,王凤姐弄权铁槛寺 秦鲸卿得趣馒头庵,,,彼时贾珍带着贾蓉来到诸长辈前让坐轿上马，因而贾赦一辈的各自上了车轿，贾珍一辈的也将要上马。
骑马,2,牲畜坐骑,13,13,15,王凤姐弄权铁槛寺 秦鲸卿得趣馒头庵,,,不一时，只见那边两骑马直奔凤姐车来，下马扶车回道：“这里有下处，奶奶请歇歇更衣。
下马,2,牲畜坐骑,12,14,15,王凤姐弄权铁槛寺 秦鲸卿得趣馒头庵,,,不一时，只见那边两骑马直奔凤姐车来，下马扶车回道：“这里有下处，奶奶请歇歇更衣。
伞,1,行装行李,10,13,14,林如海灵返苏州郡 贾宝玉路遏北静王,,,自己五更入朝，公事一毕，便换了素服，坐着大轿，鸣锣张伞而来，到了棚前落轿，手下各官两旁拥侍，军民人众不得往还。
烧香,2,出行活动,10,11,29,享福人福深还祷福 多情女情重愈斟情,,多指礼佛，非出行,那街上的人见是贾府去烧香，都站在两边观看。
大轿,2,车轿舟船,9,9,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,”丫鬟隐在门内看时，只见军牢快手一对一对过去，俄而大轿内抬着一个乌帽猩袍的官府来了。
甬路,2,道路街巷,9,9,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,一时黛玉进入荣府，下了车，只见一条大甬路直接出大门来。
行李,2,行装行李,9,9,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,只是如今行李路费一概无措，神京路远，非赖卖字撰文即能到得。
舆,1,行装行李,7,11,15,王凤姐弄权铁槛寺 秦鲸卿得趣馒头庵,,,于是贾赦、贾珍等一齐上来，叩请回舆。
出门子,3,出行活动,7,7,71,嫌隙人有心生嫌隙 鸳鸯女无意遇鸳鸯,,,就算你是个没出息的，终老在这里，难道他姐儿们都不出门子罢？
长行,2,出行活动,7,7,4,薄命女偏逢簿命郎 葫芦僧判断葫芦案,,,薛蟠见英莲生的不俗，立意买了作妾，又遇冯家来夺，因恃强喝令豪奴将冯渊打死，便将家中事务，一一嘱托了族中人并几个老家人，自己同着母亲妹子竟自起身长行去了。
街,1,道路街巷,6,62,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,字面频次含街市等复合词,这阊门外有个十里街，街内有个仁清巷，巷内有个古庙，因地方狭窄，人皆呼作“葫芦庙”。
