疑似归属,候选词,独立成词频次,首现章回,首现回目,例句
住,彩屏,27,29,享福人福深还祷福 多情女情重愈斟情,…钗的丫头莺儿、文杏，迎春的丫头司棋、绣橘，探春的丫头侍书、翠墨，惜春的丫头入画、彩屏，薛姨妈的丫头同喜、同贵，外带香菱，香菱的丫头臻儿，李氏的丫头素云、碧月，凤姐儿的丫…
住,闺阁,21,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,知我之负罪固多，然闺阁中历历有人，万不可因我之不肖，自护己短，一并使其泯灭也。
住,园门,19,17,大观园试才题对额 荣国府归省庆元宵,贾政道：“你且把园门关上，我们先瞧外面，再进去。
住,院门,17,3,托内兄如海荐西宾 接外孙贾母惜孤女,”这院门上也有几个才总角的小厮，都垂手侍立。
住,腰门,13,100,破好事香菱结深恨 悲远嫁宝玉感离情,那香菱本是要到宝琴那里，刚走出腰门，看见这般，吓回去了。
住,陪房,12,6,贾宝玉初试云雨情 刘老老一进荣国府,你竟带了小板儿先去找陪房周大爷，要见了他，就有些意思了。
住,纱窗,11,3,托内兄如海荐西宾 接外孙贾母惜孤女,自上了轿，进了城，从纱窗中瞧了一瞧，其街市之繁华，人烟之阜盛，自非别处可比。
住,正门,11,3,托内兄如海荐西宾 接外孙贾母惜孤女,又行了半日，忽见街北蹲着两个大石狮子，三间兽头大门，门前列坐着十来个华冠丽服之人，正门不开，只东西两角门有人出入。
住,过门,11,4,薄命女偏逢簿命郎 葫芦僧判断葫芦案,’后又听见三日后才过门，他又转有忧愁之态。
住,察院,10,68,苦尤娘赚入大观园 酸凤姐大闹宁国府,写一张状子，次日便往都察院处喊了冤。
住,屋门,9,39,村老老是信口开河 情哥哥偏寻根究底,我那日起的早，还没出屋门，只听外头柴草响，我想着必定有人偷柴草来了。
住,太医院,8,42,蘅芜君兰言解疑癖 潇湘子雅谑补馀音,”贾母笑道：“当日太医院正堂有个王君效，好脉息。
住,归房,8,7,送宫花贾琏戏熙凤 宴宁府宝玉会秦钟,当下李纨、探春等妹妹们也都定省毕，各归房无话。
住,前厅,7,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,”说着士隐已出前厅去了。
住,后院,7,3,托内兄如海荐西宾 接外孙贾母惜孤女,一语未完，只听后院中有笑语声，说：“我来迟了，没得迎接远客！
住,将门,7,5,贾宝玉神游太虚境 警幻仙曲演红楼梦,”说毕，便秘授以云雨之事，推宝玉入房中，将门掩上自去。
住,砚台,7,9,训劣子李贵承申饬 嗔顽童茗烟闹书房,”骂着，也便抓起砚台来要飞。
住,杏帘,7,17,大观园试才题对额 荣国府归省庆元宵,’如今莫若且题以‘杏帘在望’四字。
住,上床,7,17,大观园试才题对额 荣国府归省庆元宵,”说着赌气上床，面向里倒下拭泪。
住,扣门,7,30,宝钗借扇机带双敲 椿龄画蔷痴及局外,宝玉见关着门，便用手扣门，里面诸人只顾笑，那里听见。
住,投井,7,32,诉肺腑心迷活宝玉 含耻辱情烈死金钏,金钏儿姑娘好好儿的投井死了！
住,点灯,7,34,情中情因情感妹妹 错里错以错劝哥哥,”晴雯走进来，满屋漆黑，并未点灯，黛玉已睡在床上，问：“是谁？
住,宫门,6,5,贾宝玉神游太虚境 警幻仙曲演红楼梦,转过牌坊便是一座宫门，上面横书着四个大字，道是“孽海情天”。
住,软帘,6,6,贾宝玉初试云雨情 刘老老一进荣国府,只见门外铜钩上悬着大红洒花软帘，南窗下是炕，炕上大红条毡，靠东边板壁立着一个锁子锦的靠背和一个引枕，铺着金线闪的大坐褥，傍边有银唾盒。
住,叫门,6,26,蜂腰桥设言传心事 潇湘馆春困发幽情,”忽听又有人叫门，晴雯越发动了气，也并不问是谁，便说道：“都睡下了，明儿再来罢！
住,牌楼,6,41,贾宝玉品茶栊翠庵 刘老老醉卧怡红院,这牌楼上的字我都认得。
住,北门,6,43,闲取乐偶攒金庆寿 不了情暂撮土为香,”焙茗道：“这是出北门的大道。
住,红香圃,6,62,憨湘云醉眠芍药裀 呆香菱情解石榴裙,”宝钗等随携了他们，同到芍药栏中红香圃三间小敞厅内，连尤氏己请过来了。
住,囟门,6,86,受私贿老官翻案牍 寄闲情淑女解琴书,偶因换酒角口，先兄将酒泼地，恰值张三低头拾物，一时失手，酒碗误碰囟门身死。
行,上车,20,10,金寡妇贪利权受辱 张太医论病细穷源,今日正遇天气晴朗，又值家中无事，遂带了一个婆子，坐上车，来家里走走，瞧瞧嫂子和侄儿。
行,顺路,13,2,贾夫人仙逝扬州城 冷子兴演说荣国府,”子兴道：“去年岁底到家，今因还要入都，从此顺路找个敝友说一句话。
