所属类别,所属子类,词条
衣（服饰妆饰）,服饰品类,短褂
衣（服饰妆饰）,服饰品类,褂襕
衣（服饰妆饰）,服饰品类,长袍
衣（服饰妆饰）,服饰品类,袍袖
衣（服饰妆饰）,服饰品类,单衫
衣（服饰妆饰）,服饰品类,衬衫
衣（服饰妆饰）,服饰品类,单衣
衣（服饰妆饰）,服饰品类,夹衣
衣（服饰妆饰）,服饰品类,衫裙
衣（服饰妆饰）,服饰品类,袄裙
衣（服饰妆饰）,服饰品类,褂裙
衣（服饰妆饰）,服饰品类,长裙
衣（服饰妆饰）,服饰品类,短裙
衣（服饰妆饰）,服饰品类,绸裙
衣（服饰妆饰）,服饰品类,罗裙
衣（服饰妆饰）,服饰品类,百褶裙
衣（服饰妆饰）,服饰品类,单裤
衣（服饰妆饰）,服饰品类,大氅
衣（服饰妆饰）,服饰品类,马甲
衣（服饰妆饰）,服饰品类,围嘴
衣（服饰妆饰）,服饰品类,官服
衣（服饰妆饰）,服饰品类,丧服
衣（服饰妆饰）,服饰品类,蟒衣
衣（服饰妆饰）,服饰品类,头巾
衣（服饰妆饰）,服饰品类,领子
衣（服饰妆饰）,服饰品类,交领
衣（服饰妆饰）,服饰品类,立领
衣（服饰妆饰）,服饰品类,下摆
衣（服饰妆饰）,服饰品类,腰带
衣（服饰妆饰）,服饰品类,汗绦
衣（服饰妆饰）,服饰品类,角带
衣（服饰妆饰）,服饰品类,束腰
衣（服饰妆饰）,服饰品类,扣子
衣（服饰妆饰）,服饰品类,盘扣
衣（服饰妆饰）,服饰品类,裹脚
衣（服饰妆饰）,服饰品类,裹腿
衣（服饰妆饰）,服饰品类,绑腿
衣（服饰妆饰）,服饰品类,袜带
衣（服饰妆饰）,服饰品类,鞋子
衣（服饰妆饰）,服饰品类,弓鞋
衣（服饰妆饰）,服饰品类,睡鞋
衣（服饰妆饰）,服饰品类,鞋底
衣（服饰妆饰）,服饰品类,缎靴
衣（服饰妆饰）,服饰品类,袜子
衣（服饰妆饰）,服饰品类,暖帽
衣（服饰妆饰）,服饰品类,官帽
衣（服饰妆饰）,服饰品类,卧兔
衣（服饰妆饰）,服饰品类,额饰
衣（服饰妆饰）,衣料织物,缂丝
衣（服饰妆饰）,衣料织物,织锦
衣（服饰妆饰）,衣料织物,绨
衣（服饰妆饰）,衣料织物,缣
衣（服饰妆饰）,衣料织物,妆花缎
衣（服饰妆饰）,衣料织物,洋缎
衣（服饰妆饰）,衣料织物,鲛绡纱
衣（服饰妆饰）,衣料织物,轻纱
衣（服饰妆饰）,衣料织物,官纱
衣（服饰妆饰）,衣料织物,宁绸
衣（服饰妆饰）,衣料织物,纺绸
衣（服饰妆饰）,衣料织物,湖绸
衣（服饰妆饰）,衣料织物,潞绸
衣（服饰妆饰）,衣料织物,粗绢
衣（服饰妆饰）,衣料织物,生绢
衣（服饰妆饰）,衣料织物,罗布
衣（服饰妆饰）,衣料织物,葛布
衣（服饰妆饰）,衣料织物,夏布
衣（服饰妆饰）,衣料织物,番羓丝
衣（服饰妆饰）,衣料织物,天鹅绒
衣（服饰妆饰）,衣料织物,咕噜呢
衣（服饰妆饰）,衣料织物,素缎
衣（服饰妆饰）,衣料织物,花缎
衣（服饰妆饰）,衣料织物,杭纺
衣（服饰妆饰）,衣料织物,库缎
衣（服饰妆饰）,衣料织物,广纱
衣（服饰妆饰）,衣料织物,织金妆花
衣（服饰妆饰）,皮毛貂裘,貂皮
衣（服饰妆饰）,皮毛貂裘,貂褂
衣（服饰妆饰）,皮毛貂裘,薰皮
衣（服饰妆饰）,皮毛貂裘,羔羊皮
衣（服饰妆饰）,皮毛貂裘,羔裘
衣（服饰妆饰）,皮毛貂裘,獐皮
衣（服饰妆饰）,皮毛貂裘,兔皮
衣（服饰妆饰）,皮毛貂裘,皮草
衣（服饰妆饰）,颜色纹样,洋红
衣（服饰妆饰）,颜色纹样,蟹壳青
衣（服饰妆饰）,颜色纹样,藏青
衣（服饰妆饰）,颜色纹样,豆绿
衣（服饰妆饰）,颜色纹样,杏黄
衣（服饰妆饰）,颜色纹样,茶色
衣（服饰妆饰）,颜色纹样,酱色
衣（服饰妆饰）,颜色纹样,驼色
衣（服饰妆饰）,颜色纹样,元色
衣（服饰妆饰）,颜色纹样,天蓝
衣（服饰妆饰）,颜色纹样,织金
衣（服饰妆饰）,颜色纹样,堆绫
衣（服饰妆饰）,颜色纹样,四镶
衣（服饰妆饰）,颜色纹样,花边
衣（服饰妆饰）,颜色纹样,滚边
衣（服饰妆饰）,颜色纹样,缠枝
衣（服饰妆饰）,颜色纹样,万字
