食材维度,序号,名称,类别,出现回目
鸡鸭类,1,野鸡瓜,菜肴,第四十九回
鸡鸭类,2,野鸡崽子汤,汤羹,第四十三回
鸡鸭类,3,野鸡爪子,菜肴,第四十九回
鸡鸭类,4,烧野鸡,菜肴,第二十回
鸡鸭类,5,炸鹌鹑,菜肴,第四十六回
鸡鸭类,6,糟鹌鹑,菜肴,第五十回
鸡鸭类,7,酒酿清蒸鸭子,菜肴,第六十二回
鸡鸭类,8,鸭子肉粥,主食粥饭,第五十四回
鸡鸭类,9,鸭子炖面筋,菜肴,无明确回目
鸡鸭类,10,八仙鸭子杂烩,菜肴,无明确回目
鸡鸭类,11,燕窝秋梨鸭子热锅,菜肴,无明确回目
鸡鸭类,12,板栗野鸭肉丁,菜肴,无明确回目
鸡鸭类,13,糟鹅掌,菜肴,第八回
鸡鸭类,14,糟鹅掌鸭信,菜肴,第八回
鸡鸭类,15,胭脂鹅脯,菜肴,第六十二回
鸡鸭类,16,鸡髓笋,菜肴,第七十五回
鸡鸭类,17,鸡丝蒿子秆,菜肴,第六十一回
鸡鸭类,18,虾丸鸡皮汤,汤羹,第六十二回
猪肉类,19,火腿炖肘子,菜肴,第十六回
猪肉类,20,火腿鲜笋汤,汤羹,第五十八回
猪肉类,21,火腿炖肚子,菜肴,无明确回目
猪肉类,22,火肉白菜汤,汤羹,第八十七回
猪肉类,23,野鸡瓜,菜肴,第四十九回
猪肉类,24,茄鲞,菜肴,第四十一回
牛羊鹿类,25,牛乳蒸羊羔,菜肴,第四十九回
牛羊鹿类,26,烤鹿肉,菜肴,第四十九回
牛羊鹿类,27,牛奶,其他,无明确回目
牛羊鹿类,28,牛奶茯苓霜,补品补食,第六十回
牛羊鹿类,29,牛乳蒸羊羔,菜肴,第四十九回
牛羊鹿类,30,奶汤棋子面,主食粥饭,无明确回目
水产海鲜类,31,笼蒸螃蟹,菜肴,第三十八回
水产海鲜类,32,螃蟹馅炸饺子,点心,第四十一回
水产海鲜类,33,鸽子蛋,菜肴,第四十回
水产海鲜类,34,姥姥鸽蛋,菜肴,第四十回
水产海鲜类,35,糟蒸鲥鱼,菜肴,无明确回目
水产海鲜类,36,虾丸鸡皮汤,汤羹,第六十二回
水产海鲜类,37,葱煨海参,菜肴,无明确回目
水产海鲜类,38,银耳鸽子蛋,补品补食,无明确回目
水产海鲜类,39,鲟鳇鱼,菜肴,无明确回目
水产海鲜类,40,金凤鲟龙翅,菜肴,无明确回目
水产海鲜类,41,鱼,菜肴,无明确回目
水产海鲜类,42,虾米,调味品,第八十七回
蔬菜菌菇类,43,茄鲞,菜肴,第四十一回
蔬菜菌菇类,44,鸡髓笋,菜肴,第七十五回
蔬菜菌菇类,45,火腿鲜笋汤,汤羹,第五十八回
蔬菜菌菇类,46,油盐炒枸杞芽,菜肴,第六十一回
蔬菜菌菇类,47,鸡丝蒿子秆,菜肴,第六十一回
蔬菜菌菇类,48,面筋芦蒿,菜肴,第六十一回
蔬菜菌菇类,49,芦蒿炒面筋,菜肴,第六十一回
蔬菜菌菇类,50,鸭子炖面筋,菜肴,无明确回目
蔬菜菌菇类,51,火肉白菜汤,汤羹,第八十七回
蔬菜菌菇类,52,藕粉桂花糖糕,点心,第四十一回
主食粥饭,53,碧粳粥,主食粥饭,第八回
主食粥饭,54,枣熬粳米粥,主食粥饭,第五十四回
主食粥饭,55,红稻米粥,主食粥饭,第七十五回
主食粥饭,56,燕窝粥,主食粥饭,第四十五回
主食粥饭,57,腊八粥,主食粥饭,第十九回
主食粥饭,58,鸭子肉粥,主食粥饭,第五十四回
主食粥饭,59,江米粥,主食粥饭,第八十七回
主食粥饭,60,绿畦香稻粳米饭,主食粥饭,第六十二回
主食粥饭,61,粳米饭,主食粥饭,第六十二回
主食粥饭,62,银丝挂面,主食粥饭,无明确回目
主食粥饭,63,元宵,主食粥饭,第五十三回
主食粥饭,64,茶面子,主食粥饭,第七十五回
主食粥饭,65,奶子糖粳米粥,主食粥饭,无明确回目
主食粥饭,66,冰糖燕窝粥,主食粥饭,第四十五回
主食粥饭,67,奶汤棋子面,主食粥饭,无明确回目
点心,68,豆腐皮包子,点心,第八回
点心,69,枣泥馅山药糕,点心,第十一回
点心,70,糖蒸酥酪,点心,第十九回
点心,71,酥酪,其他,第十九回
点心,72,松瓤鹅油卷,点心,第四十一回
点心,73,奶油松瓤卷酥,点心,第六十二回
点心,74,桂花糖蒸新栗粉糕,点心,第三十七回
点心,75,藕粉桂花糖糕,点心,第四十一回
点心,76,菱粉糕,点心,第三十九回
点心,77,鸡油卷儿,点心,第三十九回
点心,78,奶油炸各色小面果,点心,第四十一回
点心,79,吉祥果,点心,第五十三回
点心,80,如意糕,点心,第五十三回
点心,81,梅花香饼儿,点心,第十九回
点心,82,热糕,点心,第六十回
点心,83,月饼,点心,第七十五回
点心,84,蒸芋头,点心,第五十回
汤羹,85,酸笋鸡皮汤,汤羹,第八回
汤羹,86,荷叶莲蓬汤,汤羹,第三十五回
汤羹,87,莲叶羹,其他,第三十五回
汤羹,88,野鸡崽子汤,汤羹,第四十三回
汤羹,89,火腿鲜笋汤,汤羹,第五十八回
汤羹,90,虾丸鸡皮汤,汤羹,第六十二回
汤羹,91,火肉白菜汤,汤羹,第八十七回
汤羹,92,建莲红枣汤,汤羹,第五十二回
