类别 / 子类,词条数,字面频次合计,独立成词频次合计
衣（服饰妆饰）,260,2773,1615
　└ 服饰品类,85,982,613
　└ 衣料织物,48,719,207
　└ 皮毛貂裘,18,60,46
　└ 颜色纹样,36,171,165
　└ 首饰佩饰,34,403,282
　└ 妆饰脂粉,27,204,178
　└ 缝织浆洗,12,234,124
食（饮膳茶酒）,225,4899,2022
　└ 主食饭粥,33,778,284
　└ 酒茶饮品,34,1496,647
　└ 菜肴珍馐,48,554,229
　└ 蔬菜调料,19,231,69
　└ 点心糕点,9,104,87
　└ 宴饮起居,18,293,258
　└ 饮馔器具,24,805,241
　└ 滋补药膳,17,421,177
　└ 果品干果,28,359,113
住（居所陈设）,275,10088,3390
　└ 床帐被褥,15,547,202
　└ 室内陈设,82,2059,786
　└ 园林景致,52,1192,439
　└ 建筑形制,83,5674,1361
　└ 园景府邸,24,379,379
　└ 起居生活,19,237,223
行（车马出行）,108,2103,1140
　└ 车轿舟船,24,484,183
　└ 牲畜坐骑,15,340,104
　└ 出行活动,41,698,665
　└ 道路街巷,17,513,127
　└ 行装行李,11,68,61
