词条,字数,所属子类,独立成词频次,字面频次,首现章回,首现回目,其他归属,备注,例句
茶,1,酒茶饮品,300,474,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,”说着便令人送女儿进去，自携了雨村来至书房中，小童献茶。
酒,1,酒茶饮品,176,594,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,至于几首歪诗，也可以喷饭供酒。
吃饭,2,宴饮起居,114,114,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,”黛玉道：“我自来如此，从会吃饭时便吃药，到如今了，经过多少名医，总未见效。
饭,1,主食饭粥,98,465,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,至于几首歪诗，也可以喷饭供酒。
药,1,滋补药膳,98,297,2,贾夫人仙逝扬州城 冷子兴演说荣国府,,含医药义，非严格饮馔,女学生奉侍汤药，守丧尽礼，过于哀痛，素本怯弱，因此旧病复发，有好些时不曾上学。
吃酒,2,宴饮起居,67,67,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,”雨村收了银衣，不过略谢一语，并不介意，仍是吃酒谈笑。
碗,1,饮馔器具,58,159,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,两边又有一对高几，几上若碗瓶花俱备。
汤,1,主食饭粥,58,111,2,贾夫人仙逝扬州城 冷子兴演说荣国府,食-酒茶饮品,兼指羹汤与汤药,女学生奉侍汤药，守丧尽礼，过于哀痛，素本怯弱，因此旧病复发，有好些时不曾上学。
果子,2,点心糕点,57,61,6,贾宝玉初试云雨情 刘老老一进荣国府,,,这里凤姐叫人抓了些果子给板儿吃，刚问了几句闲话时，就有家下许多媳妇儿管事的来回话。
藕,1,果品干果,42,67,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,一面早有熙凤命人送了一顶藕合色花帐并锦被缎褥之类。
杯,1,饮馔器具,39,216,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,须臾茶毕，早已设下杯盘，那美酒佳肴自不必说。
菜,1,菜肴珍馐,32,93,6,贾宝玉初试云雨情 刘老老一进荣国府,,,听得那边说道：“摆饭”，渐渐的人才散出去，只有伺候端菜的几个人。
肉,1,菜肴珍馐,29,79,2,贾夫人仙逝扬州城 冷子兴演说荣国府,,,说来又奇，如今长了十来岁，虽然淘气异常，但聪明乖觉，百个不及他一个，说起孩子话来也奇，他说：‘女儿是水做的骨肉，男子是泥做的肉。
箸,1,饮馔器具,28,28,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,贾珠之妻李氏捧杯，熙凤安箸，王夫人进羹。
螃蟹,2,菜肴珍馐,24,24,37,秋爽斋偶结海棠社 蘅芜院夜拟菊花题,,,我们当铺里有个伙计，他们地里出的好螃蟹，前儿送了几个来。
粥,1,主食饭粥,22,35,2,贾夫人仙逝扬州城 冷子兴演说荣国府,,,”走入看时，只有一个龙钟老僧在那里煮粥。
露,1,酒茶饮品,19,118,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,兼指玫瑰露、花露等露剂,他却常在西方灵河岸上行走，看见那灵河岸上三生石畔有棵绛珠仙草，十分娇娜可爱，遂日以甘露灌溉，这绛珠草始得久延岁月。
鸡,1,菜肴珍馐,19,77,4,薄命女偏逢簿命郎 葫芦僧判断葫芦案,,,这薛公子学名薛蟠，表字文起，性情奢侈，言语傲慢，虽也上过学，不过略识几个字，终日惟有斗鸡走马、游山玩景而已。
点心,2,点心糕点,19,19,34,情中情因情感妹妹 错里错以错劝哥哥,,,好歹留点心儿，别叫他遭塌了身子才好。
盘,1,饮馔器具,18,143,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,须臾茶毕，早已设下杯盘，那美酒佳肴自不必说。
米,1,主食饭粥,18,50,2,贾夫人仙逝扬州城 冷子兴演说荣国府,,字面频次含糯米/白米等复合词,…潜、阮籍、稽康、刘伶、王谢二族、顾虎头、陈后主、唐明皇、宋徽宗、刘庭芝、温飞卿、米南宫、石曼卿、柳耆卿、秦少游，近日倪云林、唐伯虎、祝枝山，再如李龟年、黄幡绰、敬新磨、…
厨,1,饮馔器具,16,59,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,当下奶娘来问黛玉房舍，贾母便说：“将宝玉挪出来，同我在套间暖阁里，把你林姑娘暂且安置在碧纱厨里。
酒席,2,酒茶饮品,16,16,11,庆寿辰宁府排家宴 见熙凤贾瑞起淫心,食-宴饮起居,,于是说说笑笑，点的戏都唱完了，方才撤下酒席，摆上饭来。
壶,1,饮馔器具,15,41,9,训劣子李贵承申饬 嗔顽童茗烟闹书房,,,他在位上，冷眼看见金荣的朋友暗助金荣，飞砚来打茗烟，偏打错了落在自己面前，将个磁砚水壶儿打粉碎，溅了一书墨水。
奶子,2,酒茶饮品,15,17,6,贾宝玉初试云雨情 刘老老一进荣国府,,,”又叫道：“周大妈，有个老奶奶子找你呢。
人参,2,滋补药膳,15,15,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,如今还是吃人参养荣丸。
丸药,2,滋补药膳,14,14,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,”贾母道：“这正好，我这里正配丸药呢，叫他们多配一料就是了。
馒头,2,主食饭粥,14,14,15,王凤姐弄权铁槛寺 秦鲸卿得趣馒头庵,,,凤姐也嫌不方便，因遣人来和馒头庵的姑子静虚说了，腾出几间房来预备。
盏,1,饮馔器具,13,43,5,贾宝玉神游太虚境 警幻仙曲演红楼梦,,,此离吾境不远，别无他物，仅有自采仙茗一盏，亲酿美酒几瓮，素练魔舞歌姬数人，新填《红楼梦》仙曲十二支。
葫芦,2,蔬菜调料,13,16,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,这阊门外有个十里街，街内有个仁清巷，巷内有个古庙，因地方狭窄，人皆呼作“葫芦庙”。
鱼,1,菜肴珍馐,12,38,6,贾宝玉初试云雨情 刘老老一进荣国府,,,忽见两个人抬了一张炕桌来，放在这边炕上，桌上碗盘摆列，仍是满满的鱼肉，不过略动了几样。
熏,1,菜肴珍馐,12,30,8,贾宝玉奇缘识金锁 薛宝钗巧合认通灵,,多用于熏笼、熏香,宝玉此时与宝钗挨肩坐着，只闻一阵阵的香气，不知何味，遂问：“姐姐熏的是什么香？
糕,1,主食饭粥,12,16,11,庆寿辰宁府排家宴 见熙凤贾瑞起淫心,,,昨日老太太赏的那枣泥馅的山药糕，我吃了两块，倒象克化的动的似的。
摆酒,2,宴饮起居,12,12,16,贾元春才选凤藻宫 秦鲸卿夭逝黄泉路,,,姑妈看着香菱的模样儿好还是小事，因他做人行事，又比别的女孩子不同，温柔安静，差不多儿的主子姑娘还跟不上他，才摆酒请客的费事，明堂正道给他做了屋里人。
行令,2,宴饮起居,12,12,19,情切切良宵花解语 意绵绵静日玉生香,,,贾珍、贾琏、薛蟠等只顾猜谜行令，百般作乐，纵一时不见他在座，只道在里边去了，也不理论。
醋,1,蔬菜调料,11,28,9,训劣子李贵承申饬 嗔顽童茗烟闹书房,,,因此贾瑞、金荣等一干人，也正醋妒他两个。
燕窝,2,滋补药膳,11,18,10,金寡妇贪利权受辱 张太医论病细穷源,,,我又瞧着他吃了半钟儿燕窝汤，我才过来了。
茄子,2,蔬菜调料,11,11,41,贾宝玉品茶栊翠庵 刘老老醉卧怡红院,,,”凤姐儿听说，依言夹些茄鲞送入刘老老口中，因笑道：“你们天天吃茄子，也尝尝我们这茄子，弄的可口不可口。
茯苓霜,3,滋补药膳,11,11,60,茉莉粉替去蔷薇硝 玫瑰露引出茯苓霜,,,谁知这五日的班儿，一个外财没发，只有昨日有广东的官儿来拜，送了上头两小篓子茯苓霜，馀外给了门上人一篓作门礼。
膏药,2,滋补药膳,10,10,80,美香菱屈受贪夫棒 王道士胡诌妒妇方,,,这老道士专在江湖上卖药，弄些海上方治病射利，庙外现挂着招牌，丸散膏药，色色俱备。
茶房,2,饮馔器具,10,10,14,林如海灵返苏州郡 贾宝玉路遏北静王,,,这四个人专在内茶房收管杯碟茶器，要少了一件，四人分赔。
霜,1,酒茶饮品,9,52,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,多指「茯苓霜」等精致补品,说甚么脂正浓、粉正香，如何两鬓又成霜？
鸭,1,菜肴珍馐,9,19,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,第二个削肩细腰，长挑身材，鸭蛋脸儿，俊眼修眉，顾盼神飞，文彩精华，见之忘欲。
家宴,2,宴饮起居,9,9,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,一日到了中秋佳节，士隐家宴已毕，又另具一席于书房，自己步月至庙中来邀雨村。
碟,1,饮馔器具,8,40,8,贾宝玉奇缘识金锁 薛宝钗巧合认通灵,,,”又问晴雯道：“今我那边吃早饭，有一碟子豆腐皮儿的包子。
元宵,2,主食饭粥,8,8,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,,好防佳节元宵后，便是烟消火灭时。
茶叶,2,酒茶饮品,8,8,14,林如海灵返苏州郡 贾宝玉路遏北静王,,,说毕，又吩咐按数发茶叶、油烛、鸡毛掸子、笤帚等物，一面又搬取家伙，桌面、椅搭、坐褥、毡席、痰盒、脚踏之类。
小菜,2,菜肴珍馐,7,7,14,林如海灵返苏州郡 贾宝玉路遏北静王,,,因见尤氏犯病，贾珍也过于悲哀，不大进饮食，自己每日从那府中熬了各样细粥，精美小菜，令人送过来。
西瓜,2,果品干果,7,7,26,蜂腰桥设言传心事 潇湘馆春困发幽情,,,…我的生日，谁知老胡和老程他们，不知那里寻了来的，这么粗这么长粉脆的鲜藕，这么大的西瓜，这么长这么大的暹罗国进贡的灵柏香熏的暹罗猪、鱼。…
野鸡,2,菜肴珍馐,7,7,20,王熙凤正言弹妒意 林黛玉俏语谑娇音,,,我屋里烧的滚热的野鸡，快跟了我喝酒去罢。
酥,1,主食饭粥,6,13,8,贾宝玉奇缘识金锁 薛宝钗巧合认通灵,,,宝钗托在掌上，只见大如雀卵，灿若明霞，莹润如酥，五色花纹缠护。
笋,1,菜肴珍馐,6,12,5,贾宝玉神游太虚境 警幻仙曲演红楼梦,,,后面又画着两个人放风笋，一片大海，一只大船，船中有一女子掩面泣涕之状。
瓜子,2,果品干果,6,7,8,贾宝玉奇缘识金锁 薛宝钗巧合认通灵,,,黛玉磕着瓜子儿，只管抿着嘴儿笑。
攒盒,2,菜肴珍馐,6,6,40,史太君两宴大观园 金鸳鸯三宣牙牌令,,,鸳鸯又问婆子们：“回来吃酒的攒盒，可装上了？
月饼,2,主食饭粥,6,6,75,开夜宴异兆发悲音 赏中秋新词得佳谶,,,次日起来，就有人回：“西瓜月饼都全了，只待分派送人。
槟榔,2,果品干果,6,6,64,幽淑女悲题五美吟 浪荡子情遗九龙佩,,,贾琏又不敢造次动手动脚的，因见二姐儿手里拿着一条拴着荷包的绢子摆弄，便搭讪着，往腰里摸了摸，说道：“槟榔荷包也忘记带了来，妹妹有槟榔，赏我一口吃。
筷子,2,饮馔器具,6,6,23,西厢记妙词通戏语 牡丹亭艳曲警芳心,,,”凤姐听说，把头一梗，把筷子一放，腮上带笑不笑的瞅着贾琏道：“你是真话还是玩话儿？
荔枝,2,果品干果,6,6,22,听曲文宝玉悟禅机 制灯迷贾政悲谶语,,,贾政已知是荔枝，故意乱猜，罚了许多东西，然后方猜着了，也得了贾母的东西。
菱角,2,果品干果,6,6,19,情切切良宵花解语 意绵绵静日玉生香,,,果品却只有五样：一是红枣，二是栗子，三是落花生，四是菱角，五是香芋。
鹿肉,2,菜肴珍馐,6,6,49,琉璃世界白雪红梅 脂粉香娃割腥啖膻,,,今儿另外有新鲜鹿肉，你们等着吃罢。
鹅,1,菜肴珍馐,5,21,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,第一个肌肤微丰，身材合中，腮凝新荔，鼻腻鹅脂，温柔沉默，观之可亲。
